university,familiarity_num,n,total_n,prop
Durham University,0.0,26,50,0.52
Durham University,0.33,19,50,0.38
Durham University,0.6,4,50,0.08
Durham University,1.0,1,50,0.02
Heidelberg University,0.0,37,50,0.74
Heidelberg University,0.33,10,50,0.2
Heidelberg University,0.6,3,50,0.06
KTH Royal Institute of Technology,0.0,47,50,0.94
KTH Royal Institute of Technology,0.33,2,50,0.04
KTH Royal Institute of Technology,0.6,1,50,0.02
Karlsruhe Institute of Technology,0.0,46,50,0.92
Karlsruhe Institute of Technology,0.33,3,50,0.06
Karlsruhe Institute of Technology,1.0,1,50,0.02
Lund University,0.0,44,50,0.88
Lund University,0.33,5,50,0.1
Lund University,0.6,1,50,0.02
Osaka University,0.0,35,50,0.7
Osaka University,0.33,11,50,0.22
Osaka University,0.6,3,50,0.06
Osaka University,1.0,1,50,0.02
Politecnico di Milano,0.0,46,50,0.92
Politecnico di Milano,0.33,2,50,0.04
Politecnico di Milano,0.6,2,50,0.04
Sorbonne University,0.0,36,50,0.72
Sorbonne University,0.33,9,50,0.18
Sorbonne University,0.6,4,50,0.08
Sorbonne University,1.0,1,50,0.02
The University of Western Australia,0.0,42,50,0.84
The University of Western Australia,0.33,7,50,0.14
The University of Western Australia,0.6,1,50,0.02
Tokyo Institute of Technology,0.0,38,50,0.76
Tokyo Institute of Technology,0.33,9,50,0.18
Tokyo Institute of Technology,0.6,3,50,0.06
Trinity College Dublin,0.0,31,50,0.62
Trinity College Dublin,0.33,12,50,0.24
Trinity College Dublin,0.6,4,50,0.08
Trinity College Dublin,1.0,3,50,0.06
Universidad de Buenos Aires,0.0,41,50,0.82
Universidad de Buenos Aires,0.33,7,50,0.14
Universidad de Buenos Aires,0.6,1,50,0.02
Universidad de Buenos Aires,1.0,1,50,0.02
University of Adelaide,0.0,40,50,0.8
University of Adelaide,0.33,8,50,0.16
University of Adelaide,0.6,2,50,0.04
University of Alberta,0.0,23,50,0.46
University of Alberta,0.33,25,50,0.5
University of Alberta,0.6,1,50,0.02
University of Alberta,1.0,1,50,0.02
University of Glasgow,0.0,20,50,0.4
University of Glasgow,0.33,25,50,0.5
University of Glasgow,0.6,5,50,0.1
University of Leeds,0.0,24,50,0.48
University of Leeds,0.33,18,50,0.36
University of Leeds,0.6,7,50,0.14
University of Leeds,1.0,1,50,0.02
University of Nottingham,0.0,34,50,0.68
University of Nottingham,0.33,15,50,0.3
University of Nottingham,0.6,1,50,0.02
University of Sheffield,0.0,38,50,0.76
University of Sheffield,0.33,10,50,0.2
University of Sheffield,0.6,1,50,0.02
University of Sheffield,1.0,1,50,0.02
University of Southampton,0.0,36,50,0.72
University of Southampton,0.33,12,50,0.24
University of Southampton,0.6,1,50,0.02
University of Southampton,1.0,1,50,0.02
Uppsala University,0.0,44,50,0.88
Uppsala University,0.33,5,50,0.1
Uppsala University,0.6,1,50,0.02
