,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,2.004354520030725,0.48898566683469624,4.099004645688941,6.431302213894979e-05,1.0390476963632769,2.969661343698173
C(gender)[T.Male],0.004883780987958303,0.16285376503275859,0.029988750870917315,0.9761114099467283,-0.3166059094229481,0.32637347139886463
C(gender)[T.Other],-0.31571597849217736,1.057847344791795,-0.2984513597794362,0.7657253310881157,-2.4040128951198274,1.7725809381354725
C(gender)[T.Prefer not to say],-1.1720932736075709,1.0732574019230687,-1.0920896250120498,0.2763481126137904,-3.2908111909124296,0.9466246436972876
C(race)[T.Asian],-1.0867095209522444,0.5754968645804338,-1.8882979001884057,0.060699487803642094,-2.2227981387941123,0.049379096889623275
C(race)[T.Caucasian],-0.3572841200062817,0.2645611994431811,-1.3504781531012613,0.1786682857106144,-0.8795545021900619,0.1649862621774985
C(race)[T.Latin/x],-0.10072659722433885,0.38057871788053244,-0.2646669203819168,0.7915885738147489,-0.8520272144607933,0.6505740200121156
C(race)[T.Mixed-Race],-0.22568533075952946,0.40046961041241386,-0.5635517025302192,0.5738062617226287,-1.0162525678422298,0.5648819063231708
C(race)[T.Native American],0.6076262995921642,0.7053822441264757,0.8614142256226346,0.39023049504908536,-0.7848691041214366,2.0001217033057648
C(race)[T.Other],0.5733682525099864,0.7850348699439291,0.7303729738157223,0.46617349964140686,-0.9763694354659269,2.1231059404858996
C(education)[T.Graduate Professional School],-0.021098916336982604,0.2193483657223041,-0.09618907470545696,0.9234843759912773,-0.4541146232444454,0.41191679057048025
C(education)[T.High School],0.10823484052144644,0.2832089990287016,0.382173027314282,0.7028131803208548,-0.45084817116701653,0.6673178522099095
C(education)[T.Prefer not to say],-0.33425795244917367,0.7590067945569072,-0.44038861686911074,0.6602184223197417,-1.8326136051587718,1.1640977002604247
C(education)[T.Some College],-0.18639281066721608,0.20659542863621297,-0.9022116892790933,0.368228482703705,-0.5942329387674437,0.22144731743301144
C(political)[T.Extremely Liberal],0.1836774601684951,0.36758351831127045,0.4996890530139511,0.6179439864365814,-0.5419693277843097,0.9093242481212999
C(political)[T.Moderately Conservative],0.1920769116304067,0.4019510689992106,0.4778614275330709,0.6333663414375791,-0.6014148735112843,0.9855686967720976
C(political)[T.Moderately Liberal],-0.036465975426675956,0.36957480261134895,-0.09867008023548669,0.9215171609997586,-0.7660437586071537,0.6931118077538018
C(political)[T.Prefer not to say],-0.4096408604524715,0.6080809697352835,-0.6736617010573458,0.5014467061533678,-1.6100537748584491,0.7907720539535061
C(political)[T.Slightly Conservative],0.014417210398332103,0.4062309545813249,0.035490181719881386,0.9717307595497389,-0.7875234987858042,0.8163579195824684
C(political)[T.Slightly Liberal],0.09780069473556155,0.3522356150209814,0.27765703002445086,0.7816150178182044,-0.5975477904653295,0.7931491799364525
"C(hiringYearsCat, Treatment(reference='Missing'))[T.1–3 years]",0.011719404067618455,0.21554686380521812,0.05437056174572252,0.9567041528532787,-0.4137917562045572,0.4372305643397941
"C(hiringYearsCat, Treatment(reference='Missing'))[T.4–6 years]",0.12344330259901126,0.2700911606761715,0.45704310459465514,0.6482270015048529,-0.40974377852888466,0.6566303837269072
"C(hiringYearsCat, Treatment(reference='Missing'))[T.7+ years]",-0.21632152317935985,0.21397853396625696,-1.0109496460681069,0.31348574208495994,-0.6387366428147815,0.20609359645606182
"C(hiringYearsCat, Treatment(reference='Missing'))[T.Less than 1 year]",-0.1461361823917023,0.465724244753231,-0.31378263862800215,0.7540731010540916,-1.0655226223211176,0.773250257537713
C(employmentStatusCat)[T.Employed part-time],0.07934041923632446,0.27356175849208786,0.2900274500122399,0.7721507852196308,-0.4606979705926953,0.6193788090653443
C(employmentStatusCat)[T.Other],0.2997880783489054,0.6398309384883697,0.4685426419941003,0.6400003607264385,-0.9633024635772734,1.5628786202750842
C(employmentStatusCat)[T.Self-employed],-0.1820623876773515,0.33623090776509607,-0.5414802252639646,0.588889737784277,-0.8458159731239951,0.48169119776929215
C(employmentStatusCat)[T.Student],0.04057681794175824,0.386697134121863,0.10493177828664987,0.9165543767357304,-0.7228021675340474,0.8039558034175639
C(employmentStatusCat)[T.Unemployed],0.3155137974809746,0.27228628675443534,1.1587575754981907,0.24818975464178278,-0.22200668302010734,0.8530342779820566
age,-0.0010423165320122326,0.007342888452393476,-0.14194911699529916,0.887289275013988,-0.015537915911043738,0.013453282847019273
hasFamiliarUniversity,-0.003141095266571553,0.16389126167956014,-0.01916572753410744,0.9847315066931914,-0.32667890827209833,0.3203967177389552
