id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JW978H1YK0SPZTAH90JHFHNS,0.0,40.0,20.0,6.0,2.0,10.0,20.0,0.0,0.0,2.0,2.2590231543328287
01JW9753GREBH8Q1H278C6P42E,0.0,50.0,20.0,0.0,0.0,0.0,21.0,9.0,0.0,0.0,1.7498625669965422
01JW975ABV8DXQEHP7WWZH726C,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4689955935892812
01JW978C35KHQYD6GHFHASHHFF,0.0,65.0,15.0,2.0,2.0,8.0,6.0,2.0,0.0,0.0,1.688185771921682
01JW974XJR8E3E51JYY40R7ZH8,1.0,25.0,20.0,16.0,1.0,10.0,15.0,10.0,1.0,1.0,2.7280873150348204
01JW9752CPM09HPW1D7P74C9VB,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JW97984H3NNZWV6E2HQ6YMPB,0.0,90.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.4689955935892812
01JW975NV5ED6J52HENAXJPCQK,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JW977W20P7YBB68AXRWTC4WD,0.0,75.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0540157730728
01JW9796N6PCD4PSQ1WCKCMJCY,0.0,60.0,14.0,1.0,1.0,9.0,12.0,2.0,0.0,1.0,1.831203393105202
average,0.1,69.5,11.4,2.5,0.6,3.7,9.4,2.3,0.1,0.4,1.2248369161642438
